word,category,sentiment
abide,authority,virtues
agitate,authority,vices
agitated,authority,vices
agitation,authority,vices
agitator,authority,vices
alienate,authority,vices
alienated,authority,vices
allegiance,authority,virtues
allegiant,authority,virtues
authoritarian,authority,virtues
authoritative,authority,virtues
authoritatively,authority,virtues
authority,authority,virtues
bourgeoisie,authority,virtues
caste,authority,virtues
class,authority,virtues
command,authority,virtues
commander,authority,virtues
commanding,authority,virtues
compliance,authority,virtues
compliant,authority,virtues
comply,authority,virtues
complying,authority,virtues
control,authority,virtues
controllable,authority,virtues
controlled,authority,virtues
controller,authority,virtues
controlling,authority,virtues
defector,authority,vices
defer,authority,virtues
deference,authority,virtues
deferential,authority,virtues
deferment,authority,virtues
deferral,authority,virtues
deferred,authority,virtues
defiance,authority,vices
defiant,authority,vices
defiantly,authority,vices
defy,authority,vices
denounce,authority,vices
denounced,authority,vices
disobedience,authority,vices
disobedient,authority,vices
disobey,authority,vices
disrespect,authority,vices
disrespectful,authority,vices
dissent,authority,vices
dissenter,authority,vices
dissident,authority,vices
dutiful,authority,virtues
dutifully,authority,virtues
duty,authority,virtues
hierarchical,authority,virtues
hierarchy,authority,virtues
illegal,authority,vices
illegality,authority,vices
illegally,authority,vices
insubordination,authority,vices
insurgent,authority,vices
law,authority,virtues
lawbreaker,authority,vices
lawbreaking,authority,vices
lawful,authority,virtues
lawfully,authority,virtues
lawfulness,authority,virtues
lawless,authority,vices
lawlessness,authority,vices
leader,authority,virtues
leaderboard,authority,virtues
leaderless,authority,virtues
leadership,authority,virtues
legal,authority,virtues
legalese,authority,virtues
legalisation,authority,virtues
legalise,authority,virtues
legalistic,authority,virtues
legality,authority,virtues
legalization,authority,virtues
legalize,authority,virtues
legally,authority,virtues
nonconformist,authority,vices
obedience,authority,virtues
obedient,authority,virtues
obey,authority,virtues
obstruct,authority,vices
obstruction,authority,vices
obstructionism,authority,vices
obstructionist,authority,vices
obstructive,authority,vices
oppose,authority,vices
opposed,authority,vices
order,authority,virtues
ordering,authority,virtues
orderly,authority,virtues
permission,authority,virtues
permit,authority,virtues
permitting,authority,virtues
protest,authority,vices
protestation,authority,vices
protested,authority,vices
protester,authority,vices
protesting,authority,vices
protestor,authority,vices
rank,authority,virtues
ranked,authority,virtues
ranking,authority,virtues
rankle,authority,virtues
rebel,authority,vices
rebellion,authority,vices
rebellious,authority,vices
refuse,authority,vices
respect,authority,virtues
respectability,authority,virtues
respectable,authority,virtues
respected,authority,virtues
respectful,authority,virtues
respectfully,authority,virtues
respecting,authority,virtues
respective,authority,virtues
respectively,authority,virtues
revere,authority,virtues
reverence,authority,virtues
reverend,authority,virtues
reverent,authority,virtues
riot,authority,vices
rioter,authority,vices
rioting,authority,vices
riotous,authority,vices
sedition,authority,vices
seditious,authority,vices
serve,authority,virtues
status,authority,virtues
submission,authority,virtues
submissive,authority,virtues
submit,authority,virtues
subversion,authority,vices
subversive,authority,vices
subvert,authority,vices
supremacy,authority,virtues
tradition,authority,virtues
traditional,authority,virtues
traditionalism,authority,virtues
traditionalist,authority,virtues
traditionally,authority,virtues
unfaithful,authority,vices
venerate,authority,virtues
veneration,authority,virtues
governer,authority,virtues
balance,fairness,virtues
balanced,fairness,virtues
bias,fairness,vices
biased,fairness,vices
bigot,fairness,vices
bigoted,fairness,vices
bigotry,fairness,vices
bigots,fairness,vices
constant,fairness,virtues
constantly,fairness,virtues
discriminate,fairness,vices
discriminated,fairness,vices
discrimination,fairness,vices
discriminatory,fairness,vices
dishonest,fairness,vices
dishonestly,fairness,vices
dishonesty,fairness,vices
disproportion,fairness,vices
egalitarian,fairness,virtues
egalitarianism,fairness,virtues
equal,fairness,virtues
equalise,fairness,virtues
equaliser,fairness,virtues
equality,fairness,virtues
equalize,fairness,virtues
equalizer,fairness,virtues
equally,fairness,virtues
equity,fairness,virtues
equivalent,fairness,virtues
exclude,fairness,vices
exclusion,fairness,vices
exclusionary,fairness,vices
fair,fairness,virtues
fairly,fairness,virtues
fairness,fairness,virtues
fairy,fairness,virtues
favoritism,fairness,vices
honest,fairness,virtues
honestly,fairness,virtues
honesty,fairness,virtues
impartial,fairness,virtues
impartiality,fairness,virtues
impartially,fairness,virtues
injustic,fairness,vices
injustice,fairness,vices
justice,fairness,virtues
justifiable,fairness,virtues
justifiably,fairness,virtues
justification,fairness,virtues
justifie,fairness,virtues
