word,sentiment,category
roadsweeper,virtues,concreteness
tush,virtues,concreteness
dismissiveness,vices,concreteness
spitefulness,vices,concreteness
untruthfulness,vices,concreteness
sled,virtues,concreteness
plunger,virtues,concreteness
human,virtues,concreteness
waterbed,virtues,concreteness
cymbal,virtues,concreteness
ginger,virtues,concreteness
bobsled,virtues,concreteness
cardboard,virtues,concreteness
olive,virtues,concreteness
dogsled,virtues,concreteness
rubber,virtues,concreteness
soybean,virtues,concreteness
tangerine,virtues,concreteness
headrest,virtues,concreteness
eucalyptus,virtues,concreteness
saltwater,virtues,concreteness
armrest,virtues,concreteness
paramedic,virtues,concreteness
liquid,virtues,concreteness
billfold,virtues,concreteness
canine,virtues,concreteness
flowerbed,virtues,concreteness
soy,virtues,concreteness
bald,virtues,concreteness
lilac,virtues,concreteness
hemorrhoid,virtues,concreteness
orange,virtues,concreteness
arachnid,virtues,concreteness
underarm,virtues,concreteness
barefoot,virtues,concreteness
bearded,virtues,concreteness
thyroid,virtues,concreteness
wooden,virtues,concreteness
sleeveless,virtues,concreteness
concrete,virtues,concreteness
panty,virtues,concreteness
pregnant,virtues,concreteness
helmeted,virtues,concreteness
hula,virtues,concreteness
female,virtues,concreteness
crematory,virtues,concreteness
pigtailed,virtues,concreteness
sphincter,virtues,concreteness
backrest,virtues,concreteness
blonde,virtues,concreteness
farmhand,virtues,concreteness
fat,virtues,concreteness
hairless,virtues,concreteness
afghan,virtues,concreteness
binocular,virtues,concreteness
naked,virtues,concreteness
hairy,virtues,concreteness
saline,virtues,concreteness
sudsy,virtues,concreteness
wet,virtues,concreteness
wooded,virtues,concreteness
male,virtues,concreteness
rusted,virtues,concreteness
aquamarine,virtues,concreteness
shirtless,virtues,concreteness
headless,virtues,concreteness
solid,virtues,concreteness
beaded,virtues,concreteness
blond,virtues,concreteness
soapy,virtues,concreteness
woodcutting,virtues,concreteness
prosthetic,virtues,concreteness
roast,virtues,concreteness
tartar,virtues,concreteness
newborn,virtues,concreteness
feline,virtues,concreteness
undercooked,virtues,concreteness
vertebrate,virtues,concreteness
bloodstained,virtues,concreteness
flatbed,virtues,concreteness
joint,virtues,concreteness
preschool,virtues,concreteness
beardless,virtues,concreteness
indigo,virtues,concreteness
frozen,virtues,concreteness
barefooted,virtues,concreteness
hashish,virtues,concreteness
jeweled,virtues,concreteness
mummified,virtues,concreteness
paralegal,virtues,concreteness
pleated,virtues,concreteness
puffy,virtues,concreteness
grassy,virtues,concreteness
muddy,virtues,concreteness
mustached,virtues,concreteness
